user_id,amount,merchant_type,transaction_date
844,155,Shopping,2024-10-31
42,184.11,Healthcare,2025-06-17
312,21.33,Transport,2024-08-28
984,130.83,Groceries,2025-01-19
743,59.29,Utilities,2025-05-05
195,49.89,Entertainment,2024-11-14
255,143.37,Transport,2025-01-29
572,187.8,Utilities,2025-05-07
765,28.17,Entertainment,2024-11-12
591,90.77,Utilities,2025-02-19
720,166.98,Groceries,2025-07-03
171,198.53,Shopping,2024-11-05
412,127.16,Entertainment,2025-03-02
162,134.41,Shopping,2025-06-15
454,233.51,Restaurants,2024-10-30
564,247.88,Restaurants,2024-12-05
866,94.19,Healthcare,2025-03-27
649,108.79,Entertainment,2025-01-08
332,152.89,Shopping,2024-08-30
559,55.05,Healthcare,2024-08-04
564,231.68,Restaurants,2025-06-25
369,240.49,Utilities,2025-03-04
983,100.48,Entertainment,2025-05-21
36,245.77,Shopping,2024-11-30
17,130.37,Restaurants,2025-04-15
7,76.48,Transport,2024-09-03
220,214.22,Groceries,2025-03-23
791,205.84,Entertainment,2024-12-10
843,70.44,Shopping,2024-11-08
524,139.97,Shopping,2025-02-06
159,25.38,Utilities,2024-09-30
365,40.71,Restaurants,2025-04-05
376,222.63,Transport,2025-04-30
239,65.55,Restaurants,2024-11-11
95,143.48,Shopping,2025-05-12
940,55.92,Groceries,2024-11-17
741,82.52,Utilities,2025-07-01
178,123.09,Entertainment,2024-09-24
720,144.91,Groceries,2025-07-18
610,161.28,Groceries,2024-08-19
749,202.47,Utilities,2025-03-03
81,195.47,Healthcare,2025-06-25
343,88.29,Healthcare,2024-10-18
445,105.3,Healthcare,2024-10-20
124,217.71,Transport,2025-03-13
766,163.89,Shopping,2024-11-03
951,4.84,Healthcare,2024-10-26
648,96.86,Restaurants,2024-11-20
537,12.21,Shopping,2025-04-02
579,39.1,Shopping,2025-04-18
715,56.76,Groceries,2025-07-19
690,183.43,Utilities,2025-05-31
995,112.51,Shopping,2024-11-18
590,127.17,Transport,2024-10-17
443,73.87,Utilities,2025-03-17
152,34.78,Groceries,2024-10-30
488,143.72,Groceries,2024-12-13
562,101,Groceries,2025-06-30
409,126.45,Healthcare,2025-06-10
715,34.33,Transport,2024-10-12
493,140.71,Utilities,2025-07-05
405,163.76,Transport,2025-01-13
575,154.77,Entertainment,2025-04-01
537,63.07,Groceries,2025-07-24
273,194.64,Restaurants,2024-08-10
702,231.19,Groceries,2024-11-17
116,168.59,Utilities,2024-12-18
375,88.38,Restaurants,2024-09-08
353,149.28,Groceries,2025-04-16
789,77.6,Restaurants,2025-07-11
632,205.75,Healthcare,2025-03-30
453,156.55,Utilities,2025-07-19
46,231.2,Transport,2024-10-31
205,171.97,Transport,2025-01-20
776,182.66,Groceries,2025-01-27
116,185.42,Transport,2024-09-17
972,156.01,Transport,2025-02-26
890,208.45,Restaurants,2025-05-03
15,87.13,Healthcare,2025-01-30
114,77.67,Utilities,2025-03-15
24,84.31,Entertainment,2025-07-31
551,54.55,Shopping,2025-07-28
536,188.09,Shopping,2025-03-13
495,156.51,Transport,2024-09-19
712,175.29,Groceries,2025-05-15
386,146.59,Entertainment,2025-06-24
540,12.78,Transport,2025-05-13
62,72.44,Healthcare,2025-07-29
714,155.26,Groceries,2024-10-21
477,164.38,Groceries,2024-10-02
69,98.38,Restaurants,2024-09-23
679,213.32,Entertainment,2025-04-16
369,216.34,Groceries,2025-07-12
300,217.12,Entertainment,2025-06-22
396,59.33,Utilities,2025-02-02
521,244.2,Groceries,2025-07-31
926,80.23,Healthcare,2025-01-28
612,133.83,Transport,2025-06-19
204,126.16,Utilities,2025-07-24
575,231.73,Groceries,2025-03-03
41,63.35,Shopping,2024-08-21
313,84.73,Utilities,2025-03-12
763,40.94,Restaurants,2024-09-07
701,89.27,Entertainment,2024-11-24
310,60.58,Shopping,2024-11-29
283,203.35,Entertainment,2025-06-28
264,219.91,Healthcare,2025-02-15
31,236.15,Restaurants,2025-03-11
231,39.62,Utilities,2024-09-05
673,36.04,Entertainment,2024-09-09
392,131.14,Entertainment,2024-10-16
628,218.43,Entertainment,2025-05-29
233,105.5,Shopping,2025-06-25
157,107.76,Restaurants,2025-06-21
932,152.13,Utilities,2024-08-22
556,34.68,Entertainment,2025-04-02
142,146.1,Entertainment,2025-07-20
820,52.17,Transport,2025-03-25
317,172.76,Shopping,2025-01-15
932,35.54,Healthcare,2025-03-19
149,164.75,Shopping,2024-09-06
940,41.2,Groceries,2025-03-16
571,134.17,Entertainment,2025-04-07
122,47.67,Healthcare,2025-04-27
901,38.09,Groceries,2024-11-26
784,81.03,Utilities,2024-08-13
985,103.99,Utilities,2024-08-06
764,233.57,Entertainment,2024-11-23
956,185.11,Transport,2024-10-18
798,48.61,Transport,2025-03-16
190,8.5,Shopping,2025-05-09
632,68.18,Shopping,2024-10-31
628,59.27,Transport,2025-03-29
237,172.47,Restaurants,2025-02-19
82,172.66,Utilities,2025-04-29
138,126.58,Shopping,2025-06-29
481,178.58,Restaurants,2025-02-22
189,213.33,Utilities,2025-02-10
486,36.1,Transport,2025-06-15
232,9.99,Healthcare,2025-04-10
993,5.72,Restaurants,2025-03-11
974,104.43,Entertainment,2024-09-27
688,247.08,Healthcare,2024-11-14
210,18.4,Utilities,2024-11-26
888,155.03,Entertainment,2025-01-22
333,216.96,Transport,2024-10-06
438,102.41,Groceries,2025-04-08
623,184.36,Utilities,2024-10-11
738,79.6,Shopping,2025-03-07
962,186.13,Shopping,2024-10-16
550,132.26,Entertainment,2025-06-22
806,11.55,Groceries,2025-03-11
463,115.31,Groceries,2024-09-24
899,248.97,Shopping,2024-09-01
551,100.11,Entertainment,2025-06-25
41,140.31,Shopping,2025-07-07
784,158.4,Groceries,2025-07-06
195,74.21,Utilities,2025-03-23
906,77.53,Healthcare,2025-06-11
293,116.41,Utilities,2024-12-06
302,154.06,Groceries,2025-01-09
707,130.21,Transport,2024-12-10
